104:01:42|T|LMP|Jim, could we yaw right a little bit and point that omni right at you? Would that help?
104:01:48|C|Irw|Stand by.
104:03:07|T|LMP|Okay. Any words on that uplink, Jim?
104:03:10|C|Irw|Why don't you put in that yaw maneuver; yaw right 20 degrees, that might help.
104:03:19|T|LMP|Roger.
104:03:32|T|CDR|Here's yaw right 20.
104:03:34|C|Irw|Roger.
104:03:35|T|LMP|Okay. And how about reading that up to me, and I'll copy it down.
104:03:38|C|Irw|Looks like we're getting good data now, Charlie. Stand by. We're uplinking now.
104:04:25|T|LMP|Okay, Jim. I think we'll start the - John says we'll start the PDI from zero yaw since the omni is pointing right at you.
104:04:32|T|CDR|that be better for you?
104:04:35|C|Irw|Stand by. Okay, Orion. We're finished with your computer.
104:04:47|T|CDR|Okay.
104:05:19|C|Irw|Okay, Orion. This is Houston. That zero yaw looks okay.
104:05:25|T|LMP|All right, fine. Thank you.
104:06:48|T|LMP|- and call P63, John. How do you read us VOX, Jim?
104:06:52|C|Irw|Loud and clear.
104:06:55|T|CDR|Read loud and clear on VOX. Okay?
104:06:58|C|Irw|Yes, sir, John. You're loud and clear.
104:07:04|T|CDR|Ten minutes.
104:07:07|T|LMP|Deca Gimbal AC, Closed.
104:07:13|T|CDR|It's closed, and Deca Power's closed.
104:07:16|T|LMP|Display/Engine Override Logic, Closed.
104:07:19|T|CDR|It's in. Yeah, go.
104:07:20|T|LMP|Stab/Control, all closed except the AEA.
104:07:22|T|CDR|All closed except the AEA.
104:07:24|T|LMP|Okay, 25 degrees a second.
104:07:26|T|CDR|25 degrees a second.
104:07:27|T|LMP|Throttle Control, Auto/Commander.
104:07:29|T|CDR|Auto/Commander.
104:07:30|T|LMP|ATT/Translation of 4 Jets.
104:07:31|T|CDR|4 Jets. Balance Couple, On. Engine Gimbal, Enable. Descent Engine Command Override, Off.
104:07:35|T|LMP|Off. Go.
104:07:37|T|CDR|Abort/Abort Stage, Reset. Dead Band, Min. Attitude Control. Three to Mode Control. PGNS/<a href="https://www.hq.nasa.gov/alsj/a16/../tnD7990LM_AGS.html" target="alsj">AGS</a>, Auto.
104:07:43|T|LMP|Go.
104:07:44|T|CDR|Okay.
104:07:45|T|LMP|Pro.
104:07:46|T|CDR|On Hi Mult, Landing Radar/Computer; Monitor the PGNS. PGNS, Guidance; AGS, Mode Select. Altitude/Altitude Rate. Supercrit Pressure, 1220; Ambient Pressure, 390.
104:08:00|T|LMP|Okay.
104:08:12|C|Irw|Orion, you can configure for normal RCS configuration now.
104:08:21|T|CDR|Okay. System A is on.
104:08:23|C|Irw|Roger.
104:08:32|T|LMP|Hey, Jim. We got an RCS A Reg light when that went on. The pressures are good, though.
104:08:36|C|Irw|Roger.
104:08 47|T|LMP|Okay, John. The DET is set. Okay. <a href="https://www.hq.nasa.gov/alsj/a16/../alsj-FDAI.html" target="alsj">FDAI</a>. Verify the FDAI. 011 -  - it up a little bit.  Okay, Verb 40 Noun 20, please.
104:09:22|T|CDR|Got it, Charlie.
104:09:23|T|LMP|Okay.
104:09:25|T|CDR|-
104:09:34|T|LMP|AGS and PGNS are aligned. 410 is -  - Back to zero. 400 plus 1 going in. And the needles deflect.  433.
104:10:04|T|LMP|Amazing. How do you read, Jim?
104:10:06|C|Irw|Loud and clear.
104:10:12|T|LMP|Okay.
104:10:13|T|CDR|What happened?
104:10:23|T|LMP|Okay. We are clear down to 5 minutes. At 5, we close the <a href="https://www.hq.nasa.gov/alsj/a16/../alsj-LMRadars.html" target="alsj">Landing Radar</a> breaker.
104:10:30|T|CDR|Right.  Starting a little high - .  Based on the - , it will probably be double at first - .
