||alsj|At 74 hours 28 minutes 28 seconds in the mission of Apollo 16, the crew fired the Command and Service Module (CSM)'s Service Propulsion System (SPS) engine to put themselves into a 170 by 58 nautical mile elliptical orbit around the Moon.  The low point of this orbit was over the Lunar Farside at the point at which they had entered lunar orbit; the high point was roughly over the Descartes landing site.  Four hours later, after completing two orbits of the Moon, the crew fired the SPS engine for a second time to put themselves in a new orbit, one with a high point of 58 miles and low point of just 11 miles.  In this &quot;Descent Orbit&quot;, the high point was over the lunar Farside, still roughly at the point at which the crew had first entered lunar orbit, and the low point was east of the landing site.  From this low point on a later orbit, the LM crew would begin their descent to the lunar surface.  Note that the low-point of the Descent Orbit had been planned as 8 miles, but the difference between 8 and 11 was not deemed significant enough to warrant an additional SPS burn.
||alsj|After an eight hour rest period, the crew awakened at about 91 hours 30 minutes and, at about 93 hours, Commander John Young and Lunar Module Pilot Charlie Duke entered the Lunar Module Orion to begin their power-up and checkout procedures.  It was at this point that the first of three notable hardware problems were discovered.  The first two were LM problems that were resolved with relative ease.  The third was a far more serious CSM problem that ultimately resulted in a three-orbit delay of the landing.
|Duke|alsj|Before PDI (Powered Descent Initiation), I remember two major problems.  As we started powering up the LM, our high-gain antenna didn't work in one of the axes - I believe it was yaw.  And we never could shake it loose.
||alsj|Because the spacecraft attitude relative to Earth changed constantly as the LM orbited the Moon and then descended to the surface, an inability to maintain high-gain pointing would mean, among other things, that the crew would be unable to receive digital data from Earth at a high enough speed that it could be directly loaded into the LM computer.  Although the landing could be flown by using the LM's omni-directional antennas for communications and telemetry, loss of the high-gain dictated a change in procedures.
|Duke|alsj|So we had to start changing (spacecraft) attitudes and we had to start getting the stuff (meaning the computer updates) up at low bit rate, and that led to a real problem loading the computer with the ephemeris and all of that.  So we ended up having to copy a lot of that stuff (by hand).  There was pages of it, I remember.  And I just copied all of that stuff down and then had to manually put that in the computer.
||alsj|The ephemeris is a table of data concerning spacecraft motions.
|Duke|alsj|Then, as we powered up the RCS (Reaction Control System, the small steering rockets), we had a double regulator failure in one of the systems.
||alsj|The LM had four sets of four, small rocket engines used to rotate the spacecraft around three axes.  There was a set of four RCS thrusters at each corner of the LM Ascent Stage.  Because the RCS was so critical to the performance of the mission, it actually consisted of a pair of identical systems of tanks, valves, regulators, and piping.  While Duke was manually updating the computer, Young opened valves which fed high-pressure helium into the RCS propellant tanks, thereby pressurizing them.  As he did so, Young noted that the pressure in RCS System A climbed above the planned value of 184 psi and, indeed, continued to increase at approximately 10 psi/minute.  (See sections 9.6.3 and 14.2.4 of the Apollo 16 Mission Report for details.)  This observation indicated that there was a leak in the regulator assembly and, in order to reduce the tank pressure, Young transferred some of the RCS System A propellants to ascent propellant tanks and, by making several such transfers, was able to maintain the System A pressures at about 180 psi.  Prior to the Powered Descent, Young had to perform several transfers in order to maintain the RCS pressure at the desired levels but, eventually system A was used for the landing.
||alsj|Once the high-gain and RCS problems were resolved, Young and Duke undocked and moved the LM away from the Command Module Casper at 96 hours 14 minutes.  They were near the low point in their orbit and planned to begin the descent on the next pass, two hours later.  During this final orbit prior to PDI, Young and Duke would complete their preparations for the landing and Command Module Pilot Ken Mattingly would make a third SPS burn in order to put himself in a circular, 60-mile-high orbit in which he would perform three days of observations and from which, if necessary, he could maneuver to rendezvous with the LM in the event of an emergency lift-off.
|Duke|alsj|The big (CSM) problem came an hour before we were to land when Mattingly reported a problem in his spacecraft.
